,ret,weight,turnover,target,evrp,idx_ret
2008-01-02,-0.0054384515519886505,-0.23169853279727348,0.0,-0.23170000000000002,9.86684999181177,0.024170895786616225
2008-01-03,0.0022182313735539224,-0.2289723876896688,0.0,-0.2249,9.495537297086036,-0.009573782564668986
2008-01-04,-0.009864038213611297,0.0,0.24106470895291704,0.0,6.1003183920557085,0.04255319148936169
2008-01-07,-0.0,0.0,0.0,0.0,6.59992362771202,-0.020824083118728375
2008-01-08,-0.00012715,-0.25429999999999997,0.25429999999999997,-0.25429999999999997,10.345197808584974,0.04964346349745328
2008-01-09,0.0029263899663821862,-0.2506401392449587,0.0,-0.2412,8.189879061833468,-0.011507628652702268
2008-01-10,0.008120350036679304,-0.24056630659172348,0.0,-0.2345,6.74921625178818,-0.03239844208968869
2008-01-11,-0.010992257287597038,-0.25435449391873177,0.0,-0.2368,7.355666973920144,0.04569325373670271
2008-01-14,0.011189572174833405,-0.2404741192305882,0.0,-0.22899999999999998,5.282751822486929,-0.043992036478068125
2008-01-15,-0.0019310020280828555,-0.24287411166085698,0.0,-0.2334,3.5633953980382955,0.00802997858672366
2008-01-16,0.00208290519713673,0.0,0.24014210804876068,0.0,4.60965835370579,-0.009070444915254237
2008-01-17,0.0,0.0,0.0,0.0,6.513884215704735,0.07923169267707085
2008-01-18,0.0,0.0,0.0,0.0,7.132904362957397,0.00971348589352264
2008-01-22,0.0,0.0,0.0,0.0,11.177249031267227,0.015278660024740123
2008-01-23,-0.0,0.0,0.0,0.0,4.367039243023264,-0.04704542829326253
2008-01-24,0.0,0.0,0.0,0.0,3.438397355585966,0.0012144344205413204
2008-01-25,0.0,0.0,0.0,0.0,4.956463676252362,0.013437266714119564
2008-01-28,-0.0,0.0,0.0,0.0,1.2366241556957007,-0.020624571036376108
2008-01-29,0.0,0.0,0.0,0.0,1.1098207412038477,0.0008947525395182206
2008-01-30,0.0,0.0,0.0,0.0,3.3059323275350394,0.001650570676031603
2008-01-31,-0.0,0.0,0.0,0.0,0.16944252673835436,-0.01535464851016039
2008-02-01,-0.0001201,-0.2402,0.2402,-0.2402,1.591086992712917,-0.02635614679553479
2008-02-04,-0.008646937363749625,0.0,0.2508592064349687,0.0,3.1002075794689326,0.03547671840354763
2008-02-05,0.0,0.0,0.0,0.0,1.243728998604439,0.056867674657413075
2008-02-06,0.0,0.0,0.0,0.0,4.368408082363011,0.026891545257934187
2008-02-07,-0.0,0.0,0.0,0.0,3.2278537672922916,-0.015459537194404536
2008-02-08,0.0,0.0,0.0,0.0,4.530141879824495,0.01841917321330695
2008-02-11,-0.0,0.0,0.0,0.0,5.710062427715567,-0.022239639463113567
2008-02-12,-0.0,0.0,0.0,0.0,4.007154672643811,-0.013965779658465608
2008-02-13,-0.0001244,-0.2488,0.2488,-0.2488,2.3064521355104652,-0.03499660556687033
2008-02-14,-0.0035714747840665173,0.0,0.25311688282891054,0.0,4.674382688529867,0.01384612677914816
2008-02-15,-0.0001251,-0.2502,0.2502,-0.2502,6.541656780834142,-0.009407109136351016
2008-02-19,0.0030690657362840153,0.0,0.24622183973481246,0.0,7.706282734087029,-0.012758499824745891
2008-02-20,-0.000122,-0.244,0.244,-0.244,13.271861038138567,-0.006247559547051938
2008-02-21,0.00013384283294652657,0.0,0.2436820106099629,0.0,13.92925559861602,-0.0010478845829979837
2008-02-22,-0.0001203,-0.24059999999999998,0.24059999999999998,-0.24059999999999998,12.927455261340718,-0.02189630628605682
2008-02-25,0.006483274920999703,-0.2326086591924505,0.0,-0.2303,11.49052397961249,-0.0269462798046538
2008-02-26,0.003871852940025843,-0.2278545868006223,0.0,-0.21899999999999997,10.187479457009092,-0.016645351696999537
2008-02-27,-0.0018537723749220917,-0.23013497703848165,0.0,-0.22690000000000002,11.282468637011554,0.008135769399911983
2008-02-28,-0.006563564407514631,-0.2382623920017885,0.0,-0.2353,11.56550195587906,0.02852049910873441
2008-02-29,-0.013924295171489019,0.0,0.255585074793504,0.0,10.465828771602041,0.05790465930514416
2008-03-03,-0.0,0.0,0.0,0.0,10.196717675656576,-0.00018175869715368067
