,ret
2008-01-02,-0.0054384515519886505
2008-01-03,0.0022182313735539224
2008-01-04,-0.010105102922564215
2008-01-07,-0.0
2008-01-08,-0.00038145
2008-01-09,0.0029263899663821862
2008-01-10,0.008120350036679304
2008-01-11,-0.010992257287597038
2008-01-14,0.011189572174833405
2008-01-15,-0.0019310020280828555
2008-01-16,0.0018427630890879693
2008-01-17,0.0
2008-01-18,0.0
2008-01-22,0.0
2008-01-23,-0.0
2008-01-24,0.0
2008-01-25,0.0
2008-01-28,-0.0
2008-01-29,0.0
2008-01-30,0.0
2008-01-31,-0.0
2008-02-01,-0.0003603
2008-02-04,-0.008897796570184593
2008-02-05,0.0
2008-02-06,0.0
2008-02-07,-0.0
2008-02-08,0.0
2008-02-11,-0.0
2008-02-12,-0.0
2008-02-13,-0.0003732
2008-02-14,-0.003824591666895428
2008-02-15,-0.00037529999999999996
2008-02-19,0.0028228438965492027
2008-02-20,-0.000366
2008-02-21,-0.00010983917766343635
2008-02-22,-0.0003609
2008-02-25,0.006483274920999703
2008-02-26,0.003871852940025843
2008-02-27,-0.0018537723749220917
2008-02-28,-0.006563564407514631
2008-02-29,-0.014179880246282523
2008-03-03,-0.0
2008-03-04,-0.0003828
2008-03-05,0.006554358196812252
2008-03-06,-0.017735852715994975
2008-03-07,-0.0
2008-03-10,0.0
2008-03-11,-0.0003954
2008-03-12,0.006821609937349969
2008-03-13,-0.0013510140688424617
2008-03-14,0.0
2008-03-17,0.0
2008-03-18,-0.00019342500000000003
2008-03-19,-0.006259239025857593
2008-03-20,-0.005106012054108352
2008-03-24,0.0031372383221371586
2008-03-25,4.929350862747496e-05
2008-03-26,-0.0029679230543653997
2008-03-27,0.0010664910831396732
2008-03-28,-2.3451368802682566e-05
2008-03-31,0.0024520769194740118
2008-04-01,0.008903096213907379
2008-04-02,-0.002179590874254687
2008-04-03,0.0011607643016330377
2008-04-04,0.0005327823835476787
2008-04-07,0.0073158882715122255
2008-04-08,0.0010537405349420354
2008-04-09,-0.00538395860072423
2008-04-10,0.004061528779555825
2008-04-11,-0.006620588075125509
2008-04-14,0.0008603108434502746
2008-04-15,0.0047053491594471015
2008-04-16,0.012780970117405971
2008-04-17,-0.0006156223681378082
2008-04-18,0.007255226072339044
2008-04-21,0.0025319135301582417
2008-04-22,-0.001574377967805666
2008-04-23,0.0020448667078561697
2008-04-24,0.004992612932566279
2008-04-25,0.004629525494085838
2008-04-28,0.0013795791654103657
2008-04-29,-0.0023101320799770422
2008-04-30,-0.004541111764371196
2008-05-01,0.012550102982368604
2008-05-02,0.002397719040026941
2008-05-05,-0.0017791967218900248
2008-05-06,0.007522694988916205
2008-05-07,-0.008583904758170856
2008-05-08,-0.00011270035617999632
2008-05-09,-0.0017716785342756724
2008-05-12,0.006699639548163704
2008-05-13,0.0008884947557507399
2008-05-14,0.004103531821956321
2008-05-15,0.004804567942375091
2008-05-16,-0.00157017208936248
2008-05-19,0.0035620703373742337
2008-05-20,-0.009214410239663377
2008-05-21,-0.011250830154751385
2008-05-22,0.003762407530013684
2008-05-23,-0.004517280675499679
2008-05-27,0.006202410860376542
2008-05-28,0.0018079613666869836
2008-05-29,0.011540472637143438
2008-05-30,0.004408849405427534
2008-06-02,-0.010082826542664005
2008-06-03,-0.0035118963937283325
2008-06-04,-0.0008115951116831111
2008-06-05,0.010072008291223363
2008-06-06,-0.020171450001572052
2008-06-09,0.0041358289726732105
2008-06-10,-0.00032476641135193964
2008-06-11,-0.007176886718978384
2008-06-12,0.003622533244131598
2008-06-13,0.009308085936836036
2008-06-16,0.0015785334750265747
2008-06-17,0.00015593815314345118
2008-06-18,-0.0030457642162055867
2008-06-19,0.0017690894607759343
2008-06-20,-0.005297102612924702
2008-06-23,-5.973381771059578e-05
2008-06-24,-0.0012694762979637635
2008-06-25,0.009519229235583938
2008-06-26,-0.018280306554571097
2008-06-27,0.0013234810805221517
2008-06-30,0.002708645941426282
2008-07-01,-0.00035475
2008-07-02,-0.012692883731821184
2008-07-03,-0.0
2008-07-07,0.0
2008-07-08,-0.0
2008-07-09,0.0
2008-07-10,0.0
2008-07-11,0.0
2008-07-14,0.0
2008-07-15,0.0
2008-07-16,-0.0
2008-07-17,-0.0
2008-07-18,-0.0
2008-07-21,-0.00034575000000000003
2008-07-22,0.00871656168181632
2008-07-23,-3.306594499949715e-05
2008-07-24,-0.010266684444444446
2008-07-25,0.0009336999969000422
2008-07-28,-0.007485495622919533
2008-07-29,-0.00016522500000000002
2008-07-30,0.004820595211199068
2008-07-31,-0.010619731844927172
2008-08-01,-0.00033855
2008-08-04,0.0006723825784008238
2008-08-05,-0.00015855
2008-08-06,0.0030420332893386242
2008-08-07,-0.004281317264237278
2008-08-08,0.0030545852685344974
2008-08-11,0.0015757249063330463
2008-08-12,-0.004017681577639353
2008-08-13,-0.0019675419658104327
2008-08-14,0.0036642947514850164
2008-08-15,0.001393847993784824
2008-08-18,-0.001484244366247146
2008-08-19,-0.003424612810021517
2008-08-20,0.004354183294826022
2008-08-21,0.0024036060778710564
2008-08-22,0.005388878202455495
2008-08-25,-0.009077356284197606
2008-08-26,0.0021613329257312163
2008-08-27,0.004911627205429415
2008-08-28,0.005170635582809691
2008-08-29,-0.00445196484741176
2008-09-02,-0.00282667696342741
2008-09-03,0.0026375902378941384
2008-09-04,-0.015257608338173616
2008-09-05,0.0050465523276163856
2008-09-08,0.0077727894032250415
2008-09-09,-0.008757215317404789
2008-09-10,-0.005462823691986333
2008-09-11,-0.0015465876893777882
2008-09-12,0.002424924892471974
2008-09-15,0.01623850159748167
2008-09-16,-0.00501985497586296
2008-09-17,0.017989226274284408
2008-09-18,-0.01769485155956408
2008-09-19,-0.007972514852083872
2008-09-22,0.022799611512188813
2008-09-23,0.02971256919923392
2008-09-24,-0.004184884053180229
