Date,Adj Close,Close,High,Low,Open,Volume
2018-02-14,1779.428955078125,1920.0,1970.0,1882.5,1920.0,1143800
2018-02-15,1906.8614501953125,2057.5,2092.5,1922.5,1925.0,1478200
2018-02-16,1906.8614501953125,2057.5,2102.5,2035.0,2090.0,1013600
2018-02-19,1981.0042724609375,2137.5,2140.0,2052.5,2080.0,1095800
2018-02-20,1978.687255859375,2135.0,2140.0,2090.0,2140.0,927000
2018-02-21,2036.6114501953125,2197.5,2212.5,2082.5,2120.0,1210600
2018-02-22,2034.294921875,2195.0,2210.0,2145.0,2167.5,614200
2018-02-23,2034.294921875,2195.0,2222.5,2165.0,2205.0,842200
2018-02-26,1981.0042724609375,2137.5,2222.5,2077.5,2200.0,1119800
2018-02-27,2057.464111328125,2220.0,2245.0,2160.0,2162.5,1259200
2018-02-28,2055.14697265625,2217.5,2242.5,2202.5,2220.0,784200
2018-03-01,2008.807861328125,2167.5,2205.0,2140.0,2192.5,828400
2018-03-02,1992.58935546875,2150.0,2172.5,2100.0,2100.0,729400
2018-03-05,1913.8125,2065.0,2162.5,2052.5,2152.5,957000
2018-03-06,2011.1243896484375,2170.0,2195.0,2130.0,2130.0,941200
2018-03-07,1999.5401611328125,2157.5,2190.0,2122.5,2152.5,657800
2018-03-08,2122.33935546875,2290.0,2290.0,2185.0,2200.0,1385200
2018-03-09,2099.169921875,2265.0,2302.5,2237.5,2290.0,1102800
2018-03-12,2126.97314453125,2295.0,2357.5,2265.0,2312.5,1014400
2018-03-13,2117.70556640625,2285.0,2285.0,2212.5,2250.0,1244800
2018-03-14,2085.268310546875,2250.0,2260.0,2207.5,2235.0,919000
2018-03-15,2069.04931640625,2232.5,2250.0,2197.5,2235.0,777200
2018-03-16,2018.076416015625,2177.5,2235.0,2172.5,2210.0,835200
2018-03-19,1892.9598388671875,2042.5,2140.0,2015.0,2120.0,1699600
2018-03-20,1862.8394775390625,2010.0,2032.5,1962.5,1990.0,1270200
2018-03-21,1862.8394775390625,2010.0,2010.0,2010.0,2010.0,0
2018-03-22,1830.401611328125,1975.0,2010.0,1955.0,1982.5,1363000
